entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53029409000105,2943415740.48,782100979.01,3182264805.82,3182264805.82,3182264805.82,5,3095804996.83,0.2526325074773266,1.0279280539564126,1.0279280539564126,False
MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,23006061000161,200573086.13,697105237.53,697105237.53,697105237.53,697105237.53,1,209306023.73,3.3305550652916223,3.3305550652916223,3.3305550652916223,True
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41970012000126,1761615997.81,677143242.34,677143242.34,677143242.34,677143242.34,1,1672376394.14,0.40489882822593476,0.40489882822593476,0.40489882822593476,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA,09115244000194,694519721.34,675364435.48,675364435.48,675364435.48,675364435.48,1,675364435.48,1.0,1.0,1.0,False
HAVAN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA,51344394000136,1013545604.38,667554492.75,910675878.91,910675878.91,910675878.91,3,910025248.71,0.7335560125351327,1.0007149584046402,1.0007149584046402,False
JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,15428505000129,648584193.38,643859382.83,643859382.83,643859382.83,643859382.83,1,643859382.83,1.0,1.0,1.0,False
MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42449510000190,1967671103.82,643769490.03,643769490.03,643769490.03,643769490.03,1,643769490.03,1.0,1.0,1.0,False
DJF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,35880735000131,694793402.11,631374136.35,631374136.35,631374136.35,631374136.35,1,631374136.35,1.0,1.0,1.0,False
FUNDO DE GESTÃO E RECUPERAÇÃO - FIDC - RESPONSABILIDADE LIMITADA,35880835000168,935477620.12,600476615.6,600476615.6,600476615.6,600476615.6,1,600476615.6,1.0,1.0,1.0,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS IV ENERGISA CENTRO OESTE,15254301000119,1122503422.27,588774725.9,951129737.52,951129737.52,951129737.52,2,951129737.52,0.6190267244037456,1.0,1.0,False
30E FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,40211693000186,582794683.3,584936915.47,584936915.47,584936915.47,584936915.47,1,584936920.14,0.9999999920162332,0.9999999920162332,0.9999999920162332,False
ERYTHRINA FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,65505678000171,586287312.57,578527428.4,578527428.4,578527428.4,578527428.4,1,578527428.4,1.0,1.0,1.0,False
LEGGERO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50456492000100,369825560.4,577483578.81,577483578.81,577483578.81,577483578.81,1,577483578.81,1.0,1.0,1.0,False
PANTANAL DO BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,35654776000100,550115483.18,549795516.44,549795516.44,549795516.44,549795516.44,1,549795516.44,1.0,1.0,1.0,False
