DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,63572282000111,1876075238.87,291366900.5507678,1876075238.8757677,0.1553066180466027
GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,34081900000122,1865513705.6,0.0,1865513705.5987115,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,28279473000199,1844741719.62,215361625.69533333,1844741716.6586955,0.11674351143606648
BTG PACTUAL APOLO FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,60571986000181,1833674485.73,,1829045162.567267,
M8 CREDIT ADVANCED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS,50716952000184,1813162069.99,,1813162065.9456823,
INVISTA I FIC DE FIDC MULTISSETORIAL - RESPONSABILIDADE LIMITADA,17198845000136,1809956971.41,801661236.2604033,1809956971.4174943,0.4429172897036168
BB CLAIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,56045805000106,1800810921.71,0.0,1800810921.70377,0.0
ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,56924942000110,1798768995.61,290344387.6052362,1798768995.616634,0.1614128263900299
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41970012000126,1761615997.81,553707443.8909049,1761615997.788163,0.31431790162335316
COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,32526025000110,1759550198.61,1329392835.969682,1759550198.608294,0.7555299286267351
FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RED P,12385897000106,1726822662.69,1726822662.6899726,1726822662.6899726,1.0
HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,38376526000143,1702368453.87,1300897053.1386704,1702368453.8696704,0.7641689143038269
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT I RECEIVABLES RESPONSABILIDADE LIMITADA,40750266000176,1701914787.69,,1701914787.6923864,
AFINITTY FIC DE FIDC FINANCEIROS - RESPONSABILIDADE LIMITADA,49520420000198,1689674163.73,974934808.9015765,1677674473.0528288,0.5811227532880727
AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,22358482000199,1668953204.88,1668953204.8800006,1668953204.8800006,1.0
CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,05754060000113,1666972490.26,0.0,1666972487.934475,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,12428086000137,1629151199.24,420910948.0462718,1629151199.648433,0.2583621140487779
VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26722650000134,1610706096.38,344930620.4125889,1610706096.3851414,0.21414870235277944
RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,08632394000102,1569551198.23,648486601.1012782,1569551198.2220588,0.41316689881532037
JIVE BOSSANOVA90 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,58893662000118,1554710409.76,1554710409.7643719,1554710409.7643719,1.0
XP RETURN I CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,53036495000175,1546482100.39,320582909.6983989,1546482100.3850343,0.20729817022685357
MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62310468000130,1535189477.94,311138430.9755064,1535189477.9405046,0.20267102885104873
BRAVE 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,35726300000137,1534658749.92,,1534658750.3635676,
ALDEBARAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS -  RESPONSABILIDADE LIMITADA,57833038000162,1477350540.58,69014752.62999773,1477350540.5844195,0.046715218043441774
BV AUTO III SEGMENTO FINANCEIRO FIDC RESPONSABILIDADE LIMITADA,66929956000180,1461910524.62,219348408.30443615,1461731133.5572963,0.1500607076560145
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,39669950000149,1461275229.61,238649315.790062,1461275229.6102724,0.1633157881241241
JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,13764696000174,1447126452.7,0.0,1447126452.6999977,0.0
