CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,cnpj_admin,ADMIN,dc_total,situacao_registro
60371387000114,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEXT CONSIG,Classe,5209401.33,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,5059597.52,Em Funcionamento Normal
41593704000100,INDÚSTRIA Q1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,5047068.67,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
52352829000157,LONG LIFE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADO,Classe,4559656.69,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,199.13,Em Funcionamento Normal
45383797000191,NICE 2TM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,4516734.69,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4896962.59,Em Funcionamento Normal
60776251000194,MACRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,4212954.04,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2768565.01,Em Funcionamento Normal
60707793000105,VIVACE SHOPPING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,4072649.12,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
10759034000118,PC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Classe,3335054.78,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1663077.76,Em Funcionamento Normal
27500753000112,AS4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO,Classe,3279179.66,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,Em Funcionamento Normal
60209130000160,WFOUR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,3149811.71,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,3242084.87,Em Funcionamento Normal
54990152000108,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS K8 CONSIGNADOS - RESPONSABILIDADE LIMITADA,Classe,2929726.1,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2667278.44,Em Funcionamento Normal
60306067000180,CASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,2920413.18,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2885702.62,Em Funcionamento Normal
60864701000109,NEXUS TRADE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,2728468.47,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2535742.72,Em Funcionamento Normal
61171206000179,BLUE OPPORTUNITY PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - CLASSE A,Classe,2604064.39,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2508890.67,Em Funcionamento Normal
62628909000146,SPT CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,2558519.43,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2411591.25,Em Funcionamento Normal
65910958000165,NACIONAL CONSIG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,2443988.46,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2438961.07,Em Funcionamento Normal
60008909000118,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PARCRED CONSIGNADO PÚBLICO - RESPONSABILIDADE LIMITADA,Classe,2406522.39,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1538110.94,Em Funcionamento Normal
65570364000152,VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,2104281.34,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,1416611.7799999998,Em Funcionamento Normal
44681727000157,TERRA BONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,Classe,2048769.32,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2332417.23,Em Funcionamento Normal
45880888000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRODUÇÃO I,Classe,1724292.45,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,3617005.86,Em Funcionamento Normal
42605393000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS QUASAR DUCOCO,Classe,1571611.02,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,1745701.8,Em Funcionamento Normal
61140138000180,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS INTEGRA,Classe,1563805.64,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1717436.22,Em Funcionamento Normal
