DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
R&G FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,11693671000100,286591423.05,,,,RF2 recompras/substituições > 15% da carteira (12m),228569804.18,243847360.485,0.9373478709196863,,,,,,,,
EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,07727757000120,515352066.52,,,,RF2 recompras/substituições > 15% da carteira (12m),342129215.86,388264661.905,0.8811752637527226,,,,,,,,
IB SIGMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,20093858000155,262367534.28,,,,RF2 recompras/substituições > 15% da carteira (12m),168542579.03,192199007.72749996,0.8769170092124509,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP,09172117000127,371328923.76,,,,RF2 recompras/substituições > 15% da carteira (12m),294790973.47,345808170.24916667,0.8524696604409115,,,,,,,,
BANMINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,35823530000114,421195259.86,,,,RF2 recompras/substituições > 15% da carteira (12m),291033547.32,348096626.12416667,0.8360711523132885,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MIT RESPONSABILIDADE LIMITADA,13733804000141,504977273.82,,,,RF2 recompras/substituições > 15% da carteira (12m),403940880.58,492463057.2191667,0.8202460563457643,,,,,,,,
CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,29187006000100,163097214.97,,,,RF2 recompras/substituições > 15% da carteira (12m),122611842.08000001,152749782.36333334,0.8026973275048819,,,,,,,,
MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,09137729000189,133281248.13,,,,RF2 recompras/substituições > 15% da carteira (12m),78268373.06,104670561.71666665,0.7477591767575024,,,,,,,,
BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,09527140000197,412745731.73,,,,RF2 recompras/substituições > 15% da carteira (12m),226518841.49,312739545.175,0.7243050806486484,,,,,,,,
CF FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,23200289000198,1481651371.98,,,,RF2 recompras/substituições > 15% da carteira (12m),965270295.83,1350460405.4250002,0.7147712676005648,,,,,,,,
IS GREEN SOLFÁCIL VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,57028406000108,437421807.29,,,,RF2 recompras/substituições > 15% da carteira (12m),527403357.3,756355375.8416667,0.6972957080038064,,,,,,,,
LIBRA II NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,18563847000140,186648500.21,,,,RF2 recompras/substituições > 15% da carteira (12m),111036816.83999999,159901084.32416663,0.6944094050975642,,,,,,,,
AJAXJUD - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA,10269029000127,189279045.29,,,,RF2 recompras/substituições > 15% da carteira (12m),109596148.27000001,160863171.4933333,0.6813004322405892,,,,,,,,
DANIELE MÚLTIPLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32528241000102,672100372.1,,,,RF2 recompras/substituições > 15% da carteira (12m),367008993.61999995,555208043.4033333,0.6610296770383506,,,,,,,,
